epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4873.15,0.05084,0.2002,0.88893,0.99954,0.9998,0.995,0.98334,0.22255,0.35661,0.31846,0.005743,0.005743,0.005743
45,4994.88,0.05165,0.19769,0.88921,0.9997,1,0.995,0.9841,0.22752,0.34405,0.32574,0.005644,0.005644,0.005644
46,5120.84,0.0498,0.1901,0.88839,0.99978,0.99996,0.995,0.97957,0.2347,0.33523,0.33344,0.005545,0.005545,0.005545
47,5226.43,0.04925,0.1888,0.89047,0.99975,0.99989,0.995,0.98387,0.23241,0.33196,0.32577,0.005446,0.005446,0.005446
48,5331.99,0.04893,0.18747,0.88888,0.99982,0.99978,0.995,0.99409,0.24215,0.32195,0.33367,0.005347,0.005347,0.005347
49,5434.32,inf,0.18194,0.89016,0.99981,0.99973,0.995,0.98873,0.24325,0.31951,0.33832,0.005248,0.005248,0.005248
50,5536.3,0.04816,0.18293,0.88795,0.99976,0.99975,0.995,0.9839,0.24035,0.32141,0.3353,0.005149,0.005149,0.005149
51,5639.26,inf,0.18225,0.8882,0.99965,0.99971,0.995,0.97674,0.24345,0.3261,0.33999,0.00505,0.00505,0.00505
52,5742.52,0.0456,0.17345,0.8877,0.99969,0.99973,0.995,0.98654,0.23517,0.32974,0.33177,0.004951,0.004951,0.004951
53,5845.05,0.04441,0.17536,0.88601,0.9997,0.99984,0.995,0.98989,0.23183,0.33004,0.3266,0.004852,0.004852,0.004852
54,5947.81,0.04504,0.17453,0.89022,0.99967,1,0.995,0.98279,0.23966,0.32445,0.33592,0.004753,0.004753,0.004753
55,6049.61,0.04459,0.17177,0.8892,0.99967,1,0.995,0.98675,0.23822,0.32387,0.33395,0.004654,0.004654,0.004654
56,6151.21,inf,0.17156,0.88915,0.99976,0.99992,0.995,0.98958,0.23288,0.3317,0.3291,0.004555,0.004555,0.004555
57,6252.85,0.04237,0.17183,0.88855,0.99977,1,0.995,0.99122,0.22903,0.34,0.32516,0.004456,0.004456,0.004456
58,6354.22,0.04155,0.1678,0.88712,0.99978,1,0.995,0.99269,0.23155,0.33871,0.32683,0.004357,0.004357,0.004357
59,6455.3,inf,0.16291,0.88728,0.99973,1,0.995,0.98997,0.23521,0.33898,0.33046,0.004258,0.004258,0.004258
60,6556.85,0.0412,0.16244,0.888,0.99969,0.99995,0.995,0.99229,0.22815,0.34358,0.32268,0.004159,0.004159,0.004159
61,6658.66,0.04007,0.1621,0.88772,0.99965,1,0.995,0.99373,0.22201,0.35047,0.31642,0.00406,0.00406,0.00406
62,6760.76,0.03904,0.15728,0.88777,0.99968,1,0.995,0.99318,0.22024,0.35031,0.31435,0.003961,0.003961,0.003961
63,6862.02,0.03851,0.15136,0.88642,0.99966,1,0.995,0.99239,0.2232,0.3466,0.31673,0.003862,0.003862,0.003862
64,6963.32,0.03818,0.1555,0.88666,0.99968,1,0.995,0.99248,0.22216,0.34796,0.31592,0.003763,0.003763,0.003763
