epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1705.39,0.82233,2.05885,1.20236,0.82668,0.30424,0.36567,0.30918,0.7227,2.16316,1.23271,0.00015209,0.00015209,0.00015209
43,1746.32,0.82033,2.06561,1.19671,0.87374,0.30123,0.36759,0.30586,0.7328,2.17585,1.24051,0.000149555,0.000149555,0.000149555
44,1787.79,0.82066,2.12775,1.18729,0.89729,0.29933,0.36325,0.30572,0.73076,2.1443,1.23906,0.000147021,0.000147021,0.000147021
45,1829.05,0.81368,2.03242,1.19326,0.94986,0.29798,0.3682,0.3103,0.72953,2.1408,1.23473,0.000144486,0.000144486,0.000144486
46,1869.88,0.79905,1.98411,1.18092,0.80488,0.30644,0.37054,0.31218,0.71625,2.14253,1.23482,0.000141952,0.000141952,0.000141952
47,1911.58,0.82285,2.05643,1.19793,0.80526,0.31129,0.37099,0.30891,0.73532,2.1126,1.23399,0.000139418,0.000139418,0.000139418
48,1952.36,0.79056,1.95122,1.17237,0.85799,0.30657,0.36892,0.31073,0.73269,2.11051,1.23221,0.000136883,0.000136883,0.000136883
49,1997.82,0.81628,2.06802,1.18072,0.77575,0.30952,0.36964,0.309,0.73907,2.06936,1.24611,0.000134349,0.000134349,0.000134349
50,2037.93,0.77897,1.98163,1.17031,0.764,0.31119,0.3737,0.31596,0.73035,2.07504,1.23098,0.000131814,0.000131814,0.000131814
51,2078.94,0.80714,1.95428,1.18189,0.95951,0.29939,0.37402,0.31596,0.73478,2.0658,1.23456,0.00012928,0.00012928,0.00012928
52,2119.19,0.80159,1.98124,1.18285,0.71612,0.31553,0.38222,0.32075,0.7343,2.05199,1.23045,0.000126746,0.000126746,0.000126746
53,2160.38,0.80348,1.93962,1.17986,0.81537,0.30991,0.38109,0.32194,0.73008,2.03725,1.23782,0.000124211,0.000124211,0.000124211
54,2199.52,0.81087,1.97958,1.19505,0.9081,0.29883,0.37625,0.31813,0.71908,2.02071,1.22757,0.000121677,0.000121677,0.000121677
55,2239.78,0.79812,1.96119,1.17594,0.83786,0.30392,0.37324,0.31573,0.72523,2.00246,1.23362,0.000119142,0.000119142,0.000119142
56,2277.92,0.79962,1.91952,1.17819,0.89573,0.29857,0.3735,0.31635,0.7359,2.00856,1.23302,0.000116608,0.000116608,0.000116608
57,2313.08,0.78675,1.88659,1.17899,0.82072,0.3062,0.37647,0.32082,0.72628,1.99406,1.22726,0.000114074,0.000114074,0.000114074
58,2348.72,0.80376,1.91714,1.18897,0.76241,0.31033,0.3725,0.314,0.69984,1.98767,1.20828,0.000111539,0.000111539,0.000111539
59,2387.38,0.77513,1.83318,1.15884,0.73458,0.31183,0.37482,0.31971,0.72034,1.97101,1.21961,0.000109005,0.000109005,0.000109005
60,2426.33,0.79094,1.90467,1.17866,0.73373,0.31381,0.38139,0.32224,0.71058,1.96975,1.21373,0.00010647,0.00010647,0.00010647
61,2465.83,0.80422,1.8796,1.17405,0.70139,0.31567,0.3756,0.31907,0.73209,1.96692,1.23417,0.000103936,0.000103936,0.000103936
62,2504.8,0.76574,1.84193,1.16401,0.71997,0.3137,0.37275,0.31724,0.72663,1.95978,1.22383,0.000101402,0.000101402,0.000101402
63,2782.28,0.78959,1.8963,1.17058,0.7018,0.32008,0.37643,0.32157,0.69594,1.94603,1.208,9.88672e-05,9.88672e-05,9.88672e-05
64,2909.34,0.78243,1.8522,1.16194,0.80977,0.31425,0.37946,0.32453,0.71229,1.94372,1.22169,9.63328e-05,9.63328e-05,9.63328e-05
65,2954.62,0.79226,1.84325,1.1633,0.86227,0.30806,0.38247,0.32634,0.70816,1.93627,1.21282,9.37984e-05,9.37984e-05,9.37984e-05
66,3000.74,0.79747,1.91455,1.16321,0.61534,0.33214,0.3838,0.32478,0.70719,1.93634,1.21065,9.1264e-05,9.1264e-05,9.1264e-05
67,3048.18,0.77329,1.86319,1.16332,0.78006,0.31672,0.38336,0.32783,0.69754,1.92892,1.20817,8.87296e-05,8.87296e-05,8.87296e-05
68,3094.74,0.77248,1.83304,1.15817,0.78272,0.31427,0.38011,0.32493,0.70871,1.92434,1.21635,8.61952e-05,8.61952e-05,8.61952e-05
